data_extracao,arquivo,numero_registros,tamanho_mib
2025-12-01 14:08:23,raw_cnes_estabelecimentos.parquet,594148,65.78
2025-12-01 14:08:23,raw_macroregiao_de_saude.parquet,5570,0.13
2025-12-01 14:08:23,raw_painel_de_oncologia.parquet,5227873,106.08
2025-12-01 14:08:23,raw_inca_registro_hospitalar.parquet,5399686,111.66
2025-12-01 14:08:23,raw_inca_cancer_populacional.parquet,2368916,48.15
2025-12-02 22:29:46,raw_sistema_info_mortalidade_prelim.parquet,1527369,93.93
2025-12-02 22:29:46,raw_sistema_info_mortalidade.parquet,11688306,689.54
2025-12-03 20:54:05,raw_siops_exec_rreo.parquet,33589,0.96
2025-12-03 20:54:05,raw_siops_exec_saude.parquet,4350,0.11
2025-12-03 20:54:05,raw_siops_indicadores.parquet,10159,0.18
2025-12-03 23:42:36,raw_cnes_estabelecimentos.parquet,595095,67.04
2025-12-03 23:42:36,raw_macroregiao_de_saude.parquet,5570,0.16
